,Data,Eto_t-1,Eto_t-2,Eto_t-3,Eto_t-4,Eto_t-5,Eto_t-6,Eto_t-7,Eto_t-8,Eto_t-9,Eto_t-10,Eto_t-11,Eto_t-12,Eto_t-13,Eto_t-14,Eto_t-15,Eto_t-16,Eto_t-17,Eto_t-18,Eto_t-19,Eto_t-20,Eto_t-21,Eto_t-22,Eto_t-23,Eto_t-24,Eto_t-25,Eto_t-26,Eto_t-27,Eto_t-28,Eto_t-29,Eto_t-30,temp_media_t-1,temp_media_t-2,temp_media_t-3,temp_media_t-4,temp_media_t-5,temp_media_t-6,temp_media_t-7,temp_media_t-8,temp_media_t-9,temp_media_t-10,temp_media_t-11,temp_media_t-12,temp_media_t-13,temp_media_t-14,temp_media_t-15,temp_media_t-16,temp_media_t-17,temp_media_t-18,temp_media_t-19,temp_media_t-20,temp_media_t-21,temp_media_t-22,temp_media_t-23,temp_media_t-24,temp_media_t-25,temp_media_t-26,temp_media_t-27,temp_media_t-28,temp_media_t-29,temp_media_t-30,temp_max_t-1,temp_max_t-2,temp_max_t-3,temp_max_t-4,temp_max_t-5,temp_max_t-6,temp_max_t-7,temp_max_t-8,temp_max_t-9,temp_max_t-10,temp_max_t-11,temp_max_t-12,temp_max_t-13,temp_max_t-14,temp_max_t-15,temp_max_t-16,temp_max_t-17,temp_max_t-18,temp_max_t-19,temp_max_t-20,temp_max_t-21,temp_max_t-22,temp_max_t-23,temp_max_t-24,temp_max_t-25,temp_max_t-26,temp_max_t-27,temp_max_t-28,temp_max_t-29,temp_max_t-30,radiacao_t-1,radiacao_t-2,radiacao_t-3,radiacao_t-4,radiacao_t-5,radiacao_t-6,radiacao_t-7,radiacao_t-8,radiacao_t-9,radiacao_t-10,radiacao_t-11,radiacao_t-12,radiacao_t-13,radiacao_t-14,radiacao_t-15,radiacao_t-16,radiacao_t-17,radiacao_t-18,radiacao_t-19,radiacao_t-20,radiacao_t-21,radiacao_t-22,radiacao_t-23,radiacao_t-24,radiacao_t-25,radiacao_t-26,radiacao_t-27,radiacao_t-28,radiacao_t-29,radiacao_t-30
0,2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018-01-02,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018-01-03,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2018-01-04,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018-01-05,3.612599006548605,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,,,,20.397916666666664,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018-01-06,5.294477657855669,3.612599006548605,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,,,21.172916666666666,20.397916666666664,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,22.4,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2018-01-07,5.397968775567842,5.294477657855669,3.612599006548605,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,,21.45833333333333,21.172916666666666,20.397916666666664,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,,27.3,28.0,22.4,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2018-01-08,5.642022788298938,5.397968775567842,5.294477657855669,3.612599006548605,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,,23.37291666666667,21.45833333333333,21.172916666666666,20.397916666666664,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,,29.7,27.3,28.0,22.4,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,2018-01-09,5.049432834618429,5.642022788298938,5.397968775567842,5.294477657855669,3.612599006548605,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,,24.227083333333336,23.37291666666667,21.45833333333333,21.172916666666666,20.397916666666664,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,,29.0,29.7,27.3,28.0,22.4,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
9,2018-01-10,5.196057819567329,5.049432834618429,5.642022788298938,5.397968775567842,5.294477657855669,3.612599006548605,5.854841075459748,5.6336320882829725,5.370115939715108,,,,,,,,,,,,,,,,,,,,,,23.74166666666667,24.227083333333336,23.37291666666667,21.45833333333333,21.172916666666666,20.397916666666664,23.760416666666664,23.9125,23.59583333333333,,,,,,,,,,,,,,,,,,,,,,29.2,29.0,29.7,27.3,28.0,22.4,30.1,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
