Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm
2018-01-01 00:00:00,0.7,0.0,22.5,21.6,85.0,71.0,85.0,918.5
2018-01-01 01:00:00,0.8,0.0,21.7,21.0,89.0,84.0,89.0,918.9
2018-01-01 02:00:00,0.6,0.0,21.9,21.2,89.0,86.0,87.0,918.8
2018-01-01 03:00:00,0.3,0.0,21.7,21.2,89.0,87.0,89.0,918.4
2018-01-01 04:00:00,0.3,0.0,21.3,20.8,91.0,89.0,91.0,917.6
2018-01-01 05:00:00,0.5,0.0,21.0,20.7,92.0,91.0,92.0,917.0
2018-01-01 06:00:00,0.0,0.0,21.0,20.7,92.0,91.0,92.0,916.2
2018-01-01 07:00:00,0.2,0.0,20.9,20.5,92.0,91.0,92.0,916.0
2018-01-01 08:00:00,0.1,0.0,20.8,20.3,92.0,91.0,92.0,916.4
2018-01-01 09:00:00,0.3,19.2,20.7,20.4,92.0,91.0,92.0,917.2
2018-01-01 10:00:00,0.0,294.2,21.9,20.6,92.0,88.0,88.0,917.8
2018-01-01 11:00:00,0.2,624.8,23.1,21.9,88.0,81.0,81.0,917.9
2018-01-01 12:00:00,2.4,938.4,24.0,23.0,83.0,68.0,69.0,918.1
2018-01-01 13:00:00,2.9,2582.4,26.6,23.9,70.0,58.0,62.0,917.8
2018-01-01 14:00:00,3.3,2308.7,27.2,25.9,65.0,57.0,58.0,917.6
2018-01-01 15:00:00,3.8,2644.8,28.9,26.1,60.0,51.0,52.0,916.6
2018-01-01 16:00:00,2.3,1833.5,29.0,25.9,67.0,46.0,58.0,916.0
2018-01-01 17:00:00,4.8,3583.1,29.8,27.4,58.0,40.0,43.0,915.2
2018-01-01 18:00:00,5.8,2642.6,29.8,27.8,51.0,40.0,44.0,914.2
2018-01-01 19:00:00,2.7,2219.8,29.6,28.0,51.0,41.0,49.0,913.8
2018-01-01 20:00:00,2.7,747.3,29.4,22.0,77.0,48.0,77.0,913.6
2018-01-01 21:00:00,0.5,513.0,24.5,21.9,86.0,75.0,81.0,913.8
2018-01-01 22:00:00,2.3,65.3,24.7,22.0,85.0,68.0,80.0,913.9
2018-01-01 23:00:00,1.5,1.0,23.8,22.0,80.0,65.0,66.0,914.5
2018-01-02 00:00:00,1.0,0.4,23.8,22.7,77.0,64.0,75.0,915.2
2018-01-02 01:00:00,0.2,0.0,23.3,22.1,79.0,68.0,68.0,915.8
2018-01-02 02:00:00,0.8,0.0,23.4,22.5,74.0,67.0,72.0,916.2
2018-01-02 03:00:00,0.8,0.0,23.2,22.3,76.0,72.0,74.0,915.9
2018-01-02 04:00:00,2.0,0.0,22.9,21.6,81.0,74.0,81.0,915.6
2018-01-02 05:00:00,1.7,0.9,22.4,20.4,90.0,79.0,90.0,915.3
2018-01-02 06:00:00,1.3,0.0,20.8,20.3,91.0,90.0,90.0,915.1
2018-01-02 07:00:00,0.3,0.0,20.7,20.2,90.0,88.0,88.0,914.7
2018-01-02 08:00:00,1.4,0.0,20.7,19.4,92.0,88.0,92.0,914.7
2018-01-02 09:00:00,1.7,40.8,19.9,19.5,92.0,92.0,92.0,915.5
2018-01-02 10:00:00,1.9,168.2,20.3,19.9,92.0,89.0,90.0,916.1
2018-01-02 11:00:00,1.5,647.4,21.6,20.3,90.0,83.0,84.0,916.1
2018-01-02 12:00:00,1.5,1556.5,23.0,21.5,85.0,74.0,77.0,915.8
2018-01-02 13:00:00,1.7,1793.7,24.0,22.7,79.0,70.0,72.0,915.7
2018-01-02 14:00:00,1.9,1650.4,24.8,23.0,76.0,67.0,68.0,915.7
2018-01-02 15:00:00,2.6,2568.1,26.6,24.8,70.0,59.0,60.0,915.0
2018-01-02 16:00:00,3.6,3035.0,27.7,26.1,62.0,55.0,59.0,914.0
2018-01-02 17:00:00,3.2,3132.8,29.1,26.6,62.0,51.0,52.0,912.7
2018-01-02 18:00:00,2.7,2599.8,29.7,27.7,57.0,49.0,54.0,911.5
2018-01-02 19:00:00,3.0,1702.6,29.8,27.7,59.0,49.0,51.0,910.7
2018-01-02 20:00:00,2.7,1284.4,29.7,28.3,56.0,49.0,52.0,910.8
2018-01-02 21:00:00,3.5,563.4,28.7,27.2,56.0,50.0,56.0,911.2
2018-01-02 22:00:00,2.0,29.3,27.3,25.7,62.0,56.0,61.0,912.2
2018-01-02 23:00:00,2.2,0.0,26.2,25.7,62.0,60.0,60.0,912.9
2018-01-03 00:00:00,1.7,0.0,25.8,25.2,62.0,60.0,62.0,913.5
2018-01-03 01:00:00,1.2,0.0,25.5,24.2,67.0,61.0,67.0,914.0
2018-01-03 02:00:00,0.1,0.0,25.0,24.1,69.0,64.0,67.0,914.1
2018-01-03 03:00:00,1.0,0.0,24.7,23.2,74.0,66.0,74.0,913.9
2018-01-03 04:00:00,4.1,1.2,23.5,18.8,91.0,71.0,91.0,914.5
2018-01-03 05:00:00,0.8,0.0,18.9,18.7,92.0,91.0,92.0,913.6
2018-01-03 06:00:00,0.4,0.0,19.2,18.8,93.0,92.0,93.0,913.8
2018-01-03 07:00:00,0.2,0.0,19.3,19.1,93.0,93.0,93.0,913.7
2018-01-03 08:00:00,0.9,0.0,19.4,19.1,93.0,93.0,93.0,913.9
2018-01-03 09:00:00,0.1,27.1,19.8,19.4,93.0,93.0,93.0,914.5
2018-01-03 10:00:00,0.7,237.2,20.6,19.8,93.0,92.0,92.0,915.1
2018-01-03 11:00:00,1.5,534.8,21.2,20.6,92.0,87.0,87.0,915.3
2018-01-03 12:00:00,2.2,1040.2,22.4,21.2,89.0,80.0,82.0,915.2
2018-01-03 13:00:00,2.4,1840.9,25.0,21.8,83.0,66.0,69.0,914.9
2018-01-03 14:00:00,2.5,2778.2,26.6,24.6,70.0,59.0,62.0,914.5
2018-01-03 15:00:00,3.5,2903.9,28.6,25.9,65.0,52.0,57.0,914.0
2018-01-03 16:00:00,4.1,2638.0,28.6,26.7,61.0,53.0,58.0,913.6
2018-01-03 17:00:00,3.8,3241.4,30.1,27.3,59.0,48.0,51.0,912.8
2018-01-03 18:00:00,2.7,2674.1,29.6,28.2,54.0,47.0,50.0,912.0
2018-01-03 19:00:00,2.3,1736.0,29.0,28.2,55.0,49.0,52.0,911.5
2018-01-03 20:00:00,1.3,980.6,28.3,27.1,63.0,50.0,62.0,911.6
2018-01-03 21:00:00,1.3,512.1,27.3,25.9,67.0,57.0,67.0,912.1
2018-01-03 22:00:00,1.9,47.5,25.9,24.4,74.0,67.0,74.0,913.1
2018-01-03 23:00:00,0.4,2.7,24.4,19.5,92.0,72.0,92.0,914.7
2018-01-04 00:00:00,1.3,0.0,20.4,19.7,92.0,92.0,92.0,915.7
