,lista,lags,Eto,lags_eto,erro_rmse
0,[['J']],[[0]],,"[1, 2, 3]",0.7694655019086987
1,"[['Tmax', 'I']]","[[1]
 [1]]",,"[1, 2, 3]",0.7786983043445707
2,"[['Tmax', 'J', 'I']]","[[1]
 [0]
 [1]]",,"[1, 2, 3]",0.771962506410944
3,[['J']],[[0]],,[3],0.9065700701906797
4,"[['J', 'Tmax']]","[[0]
 [3]]",,[3],0.9093470033100702
5,"[['J', 'Tmax', 'I']]","[[0]
 [3]
 [3]]",,[3],0.9185655623450907
6,[['Tmax']],[[3]],,[3],1.0049097876710416
7,"[['Tmax', 'Tmean']]","[[0]
 [0]]",,[],0.8256859985343514
8,"[['Tmax', 'Tmean', 'I']]","[[0]
 [0]
 [0]]",,[],0.7897855290470915
9,"[['Tmax', 'Tmean', 'J']]","[[0]
 [0]
 [0]]",,[],0.8256859985343514
10,"[['Tmax', 'Tmean', 'I', 'J']]","[[0]
 [0]
 [0]
 [0]]",,[0],0.3326468551696319
11,"[['Tmax', 'Tmean', 'I', 'J', 'UR']]","[[0]
 [0]
 [0]
 [0]
 [0]]",,[],0.6583872618345497
12,[['Tmean']],[[0]],,[0],0.18364079158196903
13,"[['Tmean', 'I']]","[[0]
 [0]]",,[0],0.18364079158196933
14,"[['Tmean', 'I', 'UR']]","[[0]
 [0]
 [0]]",,[0],0.18364079158196922
